498,498,JmukowlP6JyePb3s9HMH5.rgXuA-,14,216454,{150++14403++28515++40875++54630++68898++82183++95588++109390++126078++143035++155645++172953++198555}
671,671,oV6gIBu2YNea1NBTyHQz.YtMLOg-,13,256897,{150++39669++65936++69815++92550++95944++118609++142088++162917++183904++187079++214345++235429}
504,504,JJwJOrI_V2To6siGGD3zaTCFowg-,13,195864,{150++14390++29747++44275++58714++72238++89575++107724++124236++141673++156062++168510++180089}
600,600,Xtk8quBFPf_NjX9iGIZa.CrX_Jk-,22,304402,{150++15845++27012++44868++69492++78740++91124++113956++124564++138932++154292++163395++177651++185091++194947++199714++206658++217522++246146++252162++256018++263570}
523,523,BEbQa75cWhtIpQLdbkBswVTkyfo-,13,232943,{150++14543++30327++47939++63484++82911++100547++116435++134264++151294++169661++196837++216443}
672,672,8pNYcmAyfLmssk9DIFqEpyJpMw8-,14,272583,{150++19703++42501++76135++103789++117742++132477++148511++164422++189263++204641++219816++237393++259509}
536,536,iOuL4BPEJ8yy9BqYvAakW.TqbMs-,12,224601,{150++17341++36727++53947++75975++95825++110738++129742++149129++169119++187366++209060}
1042,1042,7mq70RW04kXwiw5UHH7b.TbMElQ-,7,239104,{150++40275++61801++94126++117076++172052++196202}
578,578,VBqE9RCGp_H5U9TVqUbPEoVGPwg-,11,187500,{150++15073++37870++55487++73648++92735++109483++121602++135290++150336++168448}
808,808,nGLntOns7mx1UrwGm.UMr0F7ptA-,16,223499,{150++18175++32745++45638++56186++66971++82767++97962++114890++125228++136763++151404++166012++174387++190222++210191}
783,783,Zuh6yrd8y_agGEuXeSsZjsYuLYU-,23,293251,{150++9717++15834++26093++35125++55067++69981++89616++107293++123200++143483++164658++184048++201078++221940++239952++254454++275016++275468++275920++276372++276824++277276}
784,784,znIUgzLU86A8r0fjQzdEn_O4EAg-,12,203013,{150++17019++32289++49630++65279++79809++100105++113378++129174++147530++166984++181951}
676,676,RGl8e1wg0PhxeiEJixyeGZ2oteE-,9,206719,{150++11607++32174++56245++77443++115651++127109++171503++194733}
678,678,IM7rDFDhD3N1Etm4wxwFLQWK1dg-,18,290364,{150++2300++19712++39235++40515++59145++86232++109610++134925++140180++159300++176362++194315++222430++239050++260142++262195++286852}
626,626,eqMslijc68WngRGZLTu0pQAqzUw-,4,82614,{150++18255++52984++72413}
847,847,paAId9FeuUs7FLa2.7YGSdPeA2w-,5,83693,{150++13864++36533++48462++63796}
132,132,pqxTg0IDU2HGTopwS2gArct_z1E-,5,99913,{150++19126++43438++61906++77387}
643,643,DwlhpWf0B9A33rtg72VfkPRGreQ-,15,259109,{150++27200++60826++87199++118371++131642++139864++153416++166890++179832++190660++203834++217151++227755++244472}
685,685,ojob0PVhxMk1jMnpaWk8JJpfZX4-,11,209033,{150++19796++40098++52277++76540++93682++111457++122618++151213++169487++189282}
689,689,evojy72EbCgZz_l7J_txJfz2A4k-,9,125177,{150++19067++37608++50093++63034++83323++95166++106303++124608}
1614,1614,T4euhseJ9qWBdbdeQJFZuKQi5xQ-,7,323925,{150++1410++15422++78787++162982++283872++322385}
694,694,6QAkqmQX91SOVkWshiDM3T5RbSI-,17,276142,{150++12107++31457++43732++59552++82122++96647++113650++133540++146305++168720++189170++200562++221250++231962++244690++261117}
851,851,QnT5VEmQGGg5R9DffuJre8B6Tgw-,12,241664,{150++16563++25594++39846++51813++62902++75315++90894++105062++123967++143107++159243}
714,714,nksdc8_99VJ5CodoXcKMk4Ui0.k-,14,289762,{150++21103++41819++63658++78230++99014++123184++143689++164835++184990++206308++220559++240441++262476}
717,717,I1JWTvUmkFNOv_EM_KIBha1BIzw-,29,272816,{150++4537++16987++25847++42157++50757++60420++68285++79410++89977++95857++110297++123612++129905++139557++144615++155070++164852++173412++183590++196170++203515++213372++222215++230520++240992++249709++255237++265232}
239014,239024,ut2_pWbOou_sO8bTVR2SY338uOk-,10,167502,{150++25475++41102++55430++67737++85670++98727++117350++137515++160255}
861,861,9wEGEUpgp6N3sSDTbXMFwCVYYjo-,4,41725,{150++8782++20159++30651}
