322453,df76112a-3152-419b-a819-87a8dc9420ba,God Among Men,God Among Men,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
771578,730e78ec-e76f-434a-b766-51322d2c54e6,Mars,Mars,\N,\N,\N,\N,\N,\N,2,\N,\N,90s German rock band,0,2010-12-16 09:46:31.68456+00,f,\N,\N
325153,43a54aca-d760-455d-a9ff-6d52c34cda48,Anonymous American,Anonymous American,\N,\N,\N,\N,\N,\N,2,\N,\N,,0,\N,f,\N,\N
322538,5a8ea832-5e82-4d19-b449-88c73bd0eee2,Rake,Rake,1996,\N,\N,\N,\N,\N,2,\N,\N,Edmonton+V+ Alberta+V+ Canada punk band,0,\N,f,\N,\N
324745,2229da5b-e61c-44f3-8424-9081172065a0,Pamela Bruner,Bruner+V+ Pamela,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,\N,f,\N,\N
2994,c9280bc9-9983-4b13-b2e8-4ecc1f31420a,Open Canvas,Open Canvas,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,2009-01-02 02:29:26.272665+00,f,\N,\N
331469,2dccba86-5567-408f-9f7c-df9b80720ed2,Esengül,Esengül,1954,9,24,1979,4,18,1,214,2,,0,2012-10-03 09:00:22.148714+00,t,\N,\N
836518,d183b7ab-7b68-4a1c-8ce3-a6e0d5eccae5,Barney,Barney,2007,\N,\N,\N,\N,\N,2,30,\N,death metal,0,2011-11-03 08:04:57.539267+00,f,\N,\N
333131,8366b609-59e5-4f78-808c-0585ef5687bf,Surf Cowboys,Surf Cowboys,\N,\N,\N,\N,\N,\N,2,67449,\N,,0,2021-10-10 21:26:39.846445+00,f,\N,\N
334910,e9a5a280-74d4-453f-a820-d507219651d9,Susan Greenbaum,Greenbaum+V+ Susan,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
336721,d2527a6f-d7cc-4d00-ab98-d104678bdcaa,Three5Human,Three5Human,\N,\N,\N,\N,\N,\N,2,\N,\N,,0,\N,f,\N,\N
344223,1bf62e37-009f-4ff5-8304-49f1635eaa24,Requiem,Requiem,\N,\N,\N,\N,\N,\N,2,222,\N,American hardcore/punk band,0,2012-03-23 06:08:12.689022+00,f,\N,\N
342105,0233188b-1465-40f4-bbdd-c58ea993ae1b,Björn Melander,Björn Melander,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
699861,9e7fb80e-cc48-4bac-aec9-062b002dcec6,Rake,Rake,\N,7,27,\N,\N,\N,1,107,1,Japanese R&B singer-songwriter and guitarist,0,2013-04-29 02:00:24.050385+00,f,\N,\N
183533,d5134385-cea5-4336-a10f-82532040662b,Fingertips,Fingertips,2002,1,1,\N,\N,\N,2,171,\N,,0,2021-07-06 13:19:22.619215+00,f,98329,\N
358006,73c9e150-cb76-497c-9bfc-e2fc89a5cb71,Ari Shine,Shine+V+ Ari,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
357523,c45b9130-916d-42e7-9a78-9830024d31a1,Norine Braun,Braun+V+ Norine,\N,\N,\N,\N,\N,\N,1,5212,2,,0,2018-11-18 22:07:39.507722+00,f,\N,\N
380092,ab8abfb1-56c2-4edb-bf88-1f77cb116d47,The Diamondheads,Diamondheads+V+ The,\N,\N,\N,\N,\N,\N,2,5148,\N,surf,0,2019-02-05 15:17:59.109439+00,f,\N,\N
107513,b77c86fb-8b31-44d3-95fe-398fbb12c7ce,Los Temerarios,Temerarios+V+ Los,1978,\N,\N,\N,\N,\N,2,138,\N,,0,2016-11-21 01:13:53.431692+00,f,\N,\N
348123,6898c847-dd8f-4c45-abf1-b6ec6ebbab38,Luis Bonilla,Bonilla+V+ Luis,1965,10,12,\N,\N,\N,1,222,1,,0,2018-10-31 10:00:21.020722+00,f,7703,\N
32854,b81550a4-cfbe-4be0-aecb-3630890321e7,Andy Prieboy,Prieboy+V+ Andy,1955,4,17,\N,\N,\N,1,222,1,,0,2013-09-02 04:22:26.363267+00,f,7703,\N
416505,74231cb6-e238-4558-8139-5fdb061d4a93,Jim Copp & Ed Brown,Copp+V+ Jim & Brown+V+ Ed,\N,\N,\N,\N,\N,\N,2,\N,\N,,0,\N,f,\N,\N
388930,d108eac0-8525-47c5-8b27-0f546593ee4b,dancing Light,dancing Light,1993,3,5,\N,\N,\N,2,\N,\N,,0,\N,f,\N,\N
389483,fed2e4f4-fb6a-4446-b3fe-b915fe244215,Requiem,Requiem,\N,\N,\N,\N,\N,\N,\N,\N,\N,hardcore electronic project,0,\N,f,\N,\N
398036,796ffeab-4cbc-4a84-bf7d-8b7c5f43ee09,Molokoplus,Molokoplus,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,\N,f,\N,\N
399851,57799c3b-fd6a-4ba6-84cd-47bb1bdc1e1b,Sir Millard Mulch,Mulch+V+ Sir Millard,1975,10,26,\N,\N,\N,1,222,1,,0,2012-01-02 11:05:15.219832+00,f,\N,\N
413196,a9299b70-f387-4c37-926c-8a7855a1008d,Panacea,Panacea,2003,\N,\N,\N,\N,\N,2,222,\N,Hip-Hop group formed by Raw Poetic and K-Murdock,0,2012-07-31 19:00:25.317558+00,f,\N,\N
521569,0dac6104-b88e-4e60-8c0f-a8c5e954de37,Loren,Loren,\N,\N,\N,\N,\N,\N,1,\N,\N,Loren and the Grow Your Owns,0,\N,f,\N,\N
414730,122a0ecf-db77-4bee-9cb0-0c14a8dc9531,The Cuts,Cuts+V+ The,1997,\N,\N,2007,\N,\N,2,222,\N,Oakland garage punk band,0,2018-04-19 06:19:49.467677+00,t,7288,\N
